2022-08-12 13:38:36,252| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:38:36,260| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:41:04,663| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:41:04,664| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:41:04,666| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:46:22,423| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:46:22,426| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:46:22,444| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:46:29,814| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:46:29,815| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:46:29,819| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:46:47,613| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:46:47,616| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:46:47,631| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:51:05,678| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:51:05,680| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:51:05,743| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-12 13:51:05,745| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-12 13:51:05,746| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-12 13:51:07,300| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:51:07,310| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:51:07,310| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:51:09,319| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:51:09,322| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:51:09,326| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:52:40,233| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:52:40,235| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
