2022-08-11 15:42:18,958| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| HTMLFormSimplePCV| | 1 
2022-08-11 15:42:20,556| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 15:42:20,562| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 7 
2022-08-11 15:42:33,955| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 15:42:33,963| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 9 
2022-08-11 15:45:34,475| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| | 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| inprogress| HTMLFormSimplePCV| | 4 
2022-08-11 15:45:43,654| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| joe| 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| success| HTMLFormSimplePCV| | 6 
2022-08-11 15:45:44,973| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| HTMLFormSimplePCV| | 1 
2022-08-11 15:45:47,169| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 15:45:47,175| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 7 
